,Presence of Investment Promotion Unit,Land Use Plan,Population,Local Economy Growth,Availability of Basic Utilities,Budget for DRRMP,Capacity of School Services,Transportation Vehicles,Education,Poverty_Incidents,Cluster_Id
Badian,1.0,0.9846,0.059023510016740256,0.0019630790139303104,0.8061600000000001,0.006850478711452346,0.09021335192917083,0.06158341977647308,0.07102767096005251,0.3095848537531284,2
Badiangan,1.0,0.4108,0.04013171562308568,0.002416097247914228,0.9,0.006850478711452346,0.03548509537722767,0.0025757323860882276,0.04403715599523256,0.175342134255456,2
Badoc,1.0,0.95384,0.04965766279615727,0.002567103325908867,0.7224,0.006850478711452346,0.13470212822300853,0.04238250562563357,0.20228680689422956,0.04428353998306046,2
Bagabag,1.0,0.9,0.054827847131414066,0.00015100607799463925,0.7814000000000001,0.15016249335503543,0.03036535524817492,0.035357780936302034,0.02968956646130195,0.08262040769539385,2
Bagac,1.0,0.96572,0.05171111870851103,0.0028691154818981457,0.7982400000000001,0.006302440414536158,0.07520721706815417,0.13534302901445414,0.06619778933476894,0.049378140343503435,2
Bagamanoc,0.0,0.86924,0.013149652978132267,0.0,0.74312,0.0046583255237875945,0.06761587825611044,0.0009366299585775374,0.033240950009304576,0.26131351533793123,1
Baganga,1.0,0.99092,0.09091994511634367,0.004983200573823095,0.9748,0.05891411691849017,0.17601313478157207,0.013346976909729906,0.09389858100918944,0.43503938762903666,2
Baggao,1.0,0.9454400000000001,0.13710704119242936,0.003020121559892785,0.42212,0.06275038499690348,0.10292443087026731,0.02880137122625927,0.07045944959237209,0.1436282470116985,2
Bago,1.0,0.96,0.32579527650149154,0.05315413945411302,0.75224,0.7020370583496364,0.33190039457307474,0.1105223351121494,0.2518641212243462,0.13738736157015582,0
Baguio,1.0,0.90768,0.5940601490648864,0.0,0.7659600000000001,0.01068674678986566,0.04749000326604101,0.0014049449378663059,0.033240950009304576,0.023013583478211034,2
Bagulin,1.0,0.9892,0.016464766124771175,0.004530182339839177,0.49500000000000005,0.01068674678986566,0.07044056246524298,0.01522023682688498,0.15072071777723142,0.04211833482987219,2
Bagumbayan,0.75,0.9272800000000001,0.10974909170250272,0.011174449771603305,0.83596,0.05836607862157398,0.06355539470548238,0.024352378923015967,0.10441067631127719,0.3936457597004375,2
Bais,1.0,0.9986000000000002,0.12581129345760883,0.12095586847370605,0.9063599999999999,0.5463941820254391,0.15712305913299812,0.1105223351121494,0.3108170881211898,0.2624598004190309,2
Bakun,0.5,0.0,0.01977291840391058,0.0022650911699195887,0.78788,0.0030142106330390325,0.02030241775314021,0.00023415748964438434,0.03281478398354426,0.2003056760216266,1
Balabac,0.25,0.71284,0.06290419364771388,0.0,0.026440000000000005,0.0,0.008474052627397652,0.002341574896443843,0.009375652566726931,0.35085111667271646,1
Balabagan,1.0,1.0,0.039719284223740055,0.0,0.675,0.006850478711452346,0.8415793515584293,0.062051734755761846,0.2203278353180829,0.9075635710601226,2
Balagtas,1.0,0.97272,0.12707643112564374,0.005436218807807013,0.98284,0.01068674678986566,0.22615127949367483,0.07258882178975914,0.045031543388673295,0.015116952919524421,2
Balamban,1.0,0.97272,0.1586056804646483,0.0043791762618445385,0.87968,0.05398177224624448,0.19825752292849091,0.060412632328251156,0.21592411971855963,0.21278744690471185,2
Balanga,1.0,0.9363600000000001,0.17433202036290332,0.06583865000566272,0.99568,0.7450580646575571,0.439768022809324,0.2779449402078842,0.4488948804675319,0.015244317928535495,0
Balangiga,0.0,0.0,0.01524661431235793,0.003926158027860621,0.7375200000000001,0.006850478711452346,0.11704785191593008,0.0028098898757326117,0.036792333557307204,0.6097841799922307,1
Balangkayan,0.0,0.9589600000000001,0.010668103714558997,0.0,0.945,0.0046583255237875945,0.035308552614156885,0.004214834813598918,0.011080316669768192,0.6142419553076183,1
Balaoan,1.0,0.99092,0.06546579288753145,0.003926158027860621,0.89856,0.05891411691849017,0.05508134207808474,0.05198296270105332,0.08509114981014292,0.012824382757325083,2
Balasan,1.0,0.94284,0.054067372357093225,0.0037751519498659815,0.9,0.006576459562994252,0.14582432229646794,0.06673488454864954,0.2115204041190364,0.23622260856274951,2
Balatan,0.25,0.97716,0.04685939406135656,0.0,0.61556,0.0,0.03813323682328944,0.008195512137553452,0.08963692075158627,0.46102184946729585,1
Balayan,0.0,0.8871600000000002,0.1508843381908232,0.00407716410585526,0.86344,0.05891411691849017,0.2446882696161072,0.08851153108557727,0.1184741551613676,0.10465455425430972,1
Balbalan,1.0,0.96,0.014270352645552455,0.0037751519498659815,0.78332,0.006302440414536158,0.054551713788872386,0.0018732599171550747,0.07116972630197262,0.1752147692464449,2
Baleno,0.5,0.9314399999999999,0.03846110742320466,0.003926158027860621,0.07032000000000001,0.006850478711452346,0.12216759204498281,0.007961354647909067,0.10284806755015605,0.39300893465538206,1
Baler,1.0,0.9885600000000001,0.0692438037228874,0.0021140850919249493,0.8900000000000001,0.006576459562994252,0.3864521083619471,0.058305214921451694,0.512677728989659,0.06555349648790988,2
Balete (AK),1.0,0.90856,0.045411533621459665,0.003020121559892785,0.54832,0.004384306375329501,0.07750227298807437,0.0037465198343101494,0.10156956947287508,0.1918995854268957,2
Balete (BS),0.26668,0.9230800000000001,0.03248346245800537,0.027181094039035063,0.985,0.01068674678986566,0.06284922365319925,0.07071556187260407,0.20427558168111104,0.13331168128180146,1
Baliangao,0.0,0.9897600000000001,0.022792194681820553,0.0022650911699195887,0.6166800000000001,0.008220574453742815,0.035308552614156885,0.0037465198343101494,0.1296965271730559,0.31289634398741634,1
Baliguian,0.0,0.0,0.0344151031891178,0.0028691154818981457,0.6375200000000001,0.0046583255237875945,0.01482959209794589,0.0,0.024717629494098274,0.6413707022269771,1
Balilihan,0.75,0.8971600000000001,0.024203510567345043,0.003926158027860621,0.8900000000000001,0.006850478711452346,0.10257134534412575,0.007493039668620299,0.12230964939321043,0.2331658483464838,2
Balindong,0.5,1.0,0.04382793626532245,0.004681188417833816,0.23752,0.006850478711452346,0.038486322349431,0.11309806749823763,0.01576814295313166,0.8301256455813893,1
Balingasag,1.0,0.9589600000000001,0.10974561126875297,0.003020121559892785,0.9601200000000001,0.05891411691849017,0.1733649933355103,0.040509245708478483,0.18779716201837887,0.22870807303109614,2
Balingoan,1.0,0.9025600000000001,0.012279544540694236,0.0028691154818981457,0.6708400000000001,0.16139727844181728,0.06708624996689808,0.027396426288392967,0.03139423056434321,0.20731075151723566,2
Baliwag,1.0,0.96364,0.28622274476680976,0.003020121559892785,0.99996,0.061380289254613016,0.9224359370448486,0.2786474126768173,1.0,0.022758853460188886,0
Ballesteros,1.0,0.9179600000000001,0.052736106447813035,0.0028691154818981457,0.375,0.008494593602200909,0.13417249993379615,0.02060585908870582,0.10242190152439572,0.1380241866152112,2
Baloi,1.0,0.99428,0.09464748966232821,0.001661066857941032,0.28536,0.005206363820703783,0.1542983749238656,0.0313771036123475,0.11648538037448612,0.3429544861140299,2
Balud,0.0,0.7846000000000001,0.05939243599421399,0.0,0.43,0.13426938274446598,0.013593792756450401,0.3214982332817397,0.06463518057364778,0.37606938845690924,1
Balungao,0.79988,0.9885600000000001,0.04526535540397008,0.004983200573823095,0.6643600000000001,0.006850478711452346,0.05013814471210278,0.006322252220398377,0.09290419361574868,0.09293697342529088,2
Bamban,0.74876,0.9545600000000001,0.1292377804842398,0.0043791762618445385,0.99996,0.001370095742290469,0.01712464801786609,0.02552316637123789,0.015484032269291449,0.1032535391551879,2
Bambang,0.5,0.58976,0.08603341613169169,0.014798595643474646,0.7038800000000001,0.05891411691849017,0.24168704264390387,0.04987554529425386,0.15697115282171606,0.0768889822898955,1
Banate,0.79988,0.9897600000000001,0.05112988627230242,0.0027181094039035064,0.88752,0.006302440414536158,0.09886394731963928,0.07563286915513615,0.027842847016340586,0.21151379681460114,2
Banaue,1.0,0.97144,0.03104952375310749,0.003020121559892785,0.7083200000000001,0.009590670196033284,0.12199104928191203,0.016156866785462517,0.09162569553846775,0.21686312719306625,2
Banaybanay,0.5,0.9182000000000001,0.07040278816155485,0.026728075805051148,0.68,0.05836607862157398,0.015359220387158245,0.009132142096130988,0.062220239761006,0.3038534283476301,2
Banayoyo,1.0,0.9743600000000001,0.0065316082029785874,0.0028691154818981457,0.4,0.006850478711452346,0.013593792756450401,0.003512362344665765,0.006392490386404726,0.04912341032548129,2
Banga (AK),0.75,0.85128,0.06321047181769207,0.0021140850919249493,0.6200000000000001,0.0,0.10363060192255046,0.02552316637123789,0.1603804810277986,0.22042934744537632,2
Banga (SC),1.0,0.9897600000000001,0.13920748296040478,0.003171127637887424,0.99428,0.05891411691849017,0.09886394731963928,0.05174880521140894,0.08494909446822281,0.1072018544345312,2
Bangar,1.0,0.9794800000000001,0.059247997993599276,0.0015100607799463925,0.4,0.006850478711452346,0.17354153609858108,0.06931061693473776,0.16137486842123933,0.02084837832502277,2
Bangued,1.0,0.82728,0.07686247320109481,0.003926158027860621,0.95748,0.05891411691849017,0.22703399330902876,0.07984770396873504,0.04275865791795161,0.08529507288462641,2
Bangui,1.0,0.96924,0.018580869844620474,0.0034731397938767027,0.87324,0.006850478711452346,0.10062937495034713,0.011707874482219216,0.06349873783828694,0.032438594145030544,2
